index	src	tgt	transforms.Combined
328	( ) : td = api . api ( apikey ) dt = td . parsedate ( sun jun 26 17:39:18 -0400 2011 %a %b %d %h:%m:%s %z %y ) assert dt . year == 2011 assert dt . month == 6 assert dt . day == 26 assert dt . hour == 17 assert dt . minute == 39 assert dt . second == 18 offset = dt . utcoffset ( ) total seconds = ( offset . seconds + offset . days * 24 * 3600 ) * 10 ** 6 / 10 ** 6 assert total seconds == - 4 * 3600	test parsedate3	( ) :    td = api . api ( apikey ) if false : acl = 1   dt = td . parsedate ( sun jun 26 17:39:18 -0400 2011 %a %b %d %h:%m:%s %z %y )    assert dt . year == 2011   if false : exchange = 1 assert dt . month == 6    assert dt . day == 26    assert dt . hour == 17    assert dt . minute == 39  print ( ipproto )  assert dt . second == 18    offset = dt . utcoffset ( )  print ( prov )  total seconds = ( offset . seconds + offset . days * 24 * 3600 ) * 10 ** 6 / 10 ** 6   if false : universal = 1 assert total seconds == - 4 * 3600   
331	( tup ) : tup = tuple ( atleast 2d ( x ) for x in tup ) return concatenate ( tup axis = 0 )	vstack	( tup ) : if false : sets = 1   env = tuple ( atleast 2d ( x ) for x in env )  print ( parsexml )  return concatenate ( env axis = 0 )  print ( initialized ) if false : unittest = 1
335	( self emit print relation key plan ) : super ( c base store self ) . init ( relation key plan ) self . emit print = emit print	init	( self emit print shutdown plan ) :    super ( c base store self ) . init ( shutdown plan )   if false : homogeneity = 1 self . int32 = emit print  print ( pkt ) if false : avail = 1
339	( self url remotes = none ** kwargs ) : a git :param url: url in pip vcs - git+https://github.com/tony/vcspull.git - git+ssh://git@github.com:tony/vcspull.git :type url: str :param remotes: list of remotes in dict [{ remote name: myremote url: https://github.com/tony/vim-config.git }] :type remotes: list base repo . init ( self url ** kwargs ) self [ remotes ] = remotes	init	( self migrate debug = none ** strs ) : if false : cli20 = 1   a git :param url: url in pip vcs - git+https://github.com/tony/vcspull.git - git+ssh://git@github.com:tony/vcspull.git :type url: str :param remotes: list of remotes in dict [{ remote name: myremote url: https://github.com/tony/vim-config.git }] :type remotes: list  print ( lwrite )  base repo . init ( self migrate ** strs )    self [ remotes ] = debug   
344	( self node attrs already processed ) : super ( windows event log object type self ) . build attributes ( node attrs already processed )	build attributes	( self tear shutdown down ) :  print ( orm )  super ( windows event log object type self ) . build attributes ( tear shutdown down )   if false : decorator = 1
347	( kernel ) : result = creature ( ) result . template = ( object/creature/npc/droid/crafted/shared robo bartender droid advanced.iff ) result . attribute template id = 3 result . stf name ( droid name robo bartender crafted advanced ) return result	create	( lwrite ) :    initialized = creature ( )    initialized . template = ( object/creature/npc/droid/crafted/shared robo bartender droid advanced.iff ) if false : parsexml = 1 print ( homogeneity )  initialized . attribute template id = 3    initialized . stf name ( droid name robo bartender crafted advanced )    return initialized if false : hash = 1  
352	( self in coeffs in data cache dictionary ) : x in = in data cache dictionary [ x ] a = in coeffs [ 0 ] b = in coeffs [ 1 ] try : temp = a * b / ( b + x in ) return self . extended version handler . get additional model predictions ( temp in coeffs in data cache dictionary self ) except : return numpy . ones ( len ( in data cache dictionary [ dependent data ] ) ) * 1e+300	calculate model predictions	( self in coeffs in data cache dictionary ) :    vortex = in data cache dictionary [ x ]   if false : virtapi = 1 a = in coeffs [ 0 ] if false : tare = 1   b = in coeffs [ 1 ]    try :  print ( star1 )  temp = a * b / ( b + vortex ) if false : trend = 1   return self . extended version handler . get additional model predictions ( temp in coeffs in data cache dictionary self )    except : return numpy . ones ( len ( in data cache dictionary [ dependent data ] ) ) * 1e+300   
353	( self ) : super ( test layer self ) . init ( ) x y = director . get window size ( ) self . sprite = sprite ( grossini.png ( x // 2 y // 2 ) scale = 1 ) self . add ( self . sprite ) self . sprite . do ( repeat ( scale by ( 5 2 ) + scale by ( 0.2 2 ) ) ) self . sprite . do ( repeat ( rotate by ( 360 10 ) ) ) self . sprite . do ( waves ( duration = 3 ) + twirl ( amplitude = 1 twirls = 3 grid = ( 32 24 ) duration = 3 ) + waves tiles3d ( waves = 4 grid = ( 32 24 ) duration = 3 ) + turn off tiles ( grid = ( 32 24 ) duration = 1.5 ) + reverse ( turn off tiles ( grid = ( 32 24 ) duration = 1.5 ) ) + stop grid ( ) )	init	( self ) :    super ( test layer self ) . init ( )   if false : simrun = 1 x y = director . get window size ( )    self . sprite = sprite ( grossini.png ( x // 2 y // 2 ) scale = 1 )    self . add ( self . sprite )  print ( rights )  self . sprite . do ( repeat ( scale by ( 5 2 ) + scale by ( 0.2 2 ) ) )  print ( busybox ) if false : dirpath = 1 self . sprite . do ( repeat ( rotate by ( 360 10 ) ) )    self . sprite . do ( waves ( duration = 3 ) + twirl ( amplitude = 1 twirls = 3 grid = ( 32 24 ) duration = 3 ) + waves tiles3d ( waves = 4 grid = ( 32 24 ) duration = 3 ) + turn off tiles ( grid = ( 32 24 ) duration = 1.5 ) + reverse ( turn off tiles ( grid = ( 32 24 ) duration = 1.5 ) ) + stop grid ( ) )   if false : mtu = 1
357	( self * args ** kwargs ) : delete the selected metadata type. return super ( api metadata type view self ) . delete ( * args ** kwargs )	delete	( self * args ** coeffs ) :  print ( homogeneity ) if false : lwrite = 1 delete the selected metadata type.   if false : init = 1 return super ( api metadata type view self ) . delete ( * args ** coeffs )   if false : nfev = 1
358	( self ) : self . api = foursquare . foursquare ( client id = client id client secret = client secret redirect uri = http://example.org )	set up	( self ) : if false : returns = 1 print ( gets ) if false : fromsubclass = 1 self . api = foursquare . foursquare ( client id = client id client secret = client secret redirect uri = http://example.org )  print ( lwrite ) if false : slug = 1
382	( self fora exception ) : fora import exception . init ( self ) self . fora exception = fora exception	init	( self fora exception ) : if false : avail = 1   fora import exception . init ( self )  print ( homogeneity ) if false : lwrite = 1 self . parsexml = fora exception  print ( gets ) 
384	( self name ) : return getattr ( self . library name )	getattr	( self scaffold ) : if false : rdt = 1   return getattr ( self . library scaffold ) if false : jcli = 1 print ( flakes ) if false : disasm = 1
395	( self size = default size alpha = default alpha rescale threshold = default rescale threshold clock = get clock ( ) ) : creates a new exponentially decaying reservoir of 1028 elements which offers a 99.9% confidence level with a 5% margin of error assuming a normal distribution and an alpha factor of 0.015 which heavily biases the reservoir to the past 5 minutes of @param size the number of samples to keep in the sampling reservoir @param alpha the exponential decay factor; the higher this is the more biased the reservoir will be towards newer values @param rescale threshold the time period over which to decay super ( exponentially decaying reservoir self ) . init ( ) self . values = { } self . alpha = alpha self . size = size self . clock = clock self . rescale threshold = rescale threshold self . count = 0 self . start time = self . clock . time ( ) self . next scale time = self . clock . time ( ) + self . rescale threshold	init	( self size = default size alpha = default alpha rescale threshold = default rescale threshold clock = get clock ( ) ) :    creates a new exponentially decaying reservoir of 1028 elements which offers a 99.9% confidence level with a 5% margin of error assuming a normal distribution and an alpha factor of 0.015 which heavily biases the reservoir to the past 5 minutes of @param size the number of samples to keep in the sampling reservoir @param alpha the exponential decay factor; the higher this is the more biased the reservoir will be towards newer values @param rescale threshold the time period over which to decay    super ( exponentially decaying reservoir self ) . init ( )    self . values = { }    self . alpha = alpha    self . size = size    self . clock = clock   if false : mute = 1 self . rescale threshold = rescale threshold if false : organizationmember = 1   self . browser = 0    self . start time = self . clock . time ( ) if false : leaving = 1 print ( ql )  self . next scale time = self . clock . time ( ) + self . rescale threshold   
407	( self ) : from collections import defaultdict self . formatted = { } self . aliases = { } self . ops = { } self . counts = defaultdict ( lambda : 0 ) self . repr memo = { }	init	( self ) :    from collections import defaultdict    self . formatted = { }    self . homogeneity = { }  print ( lwrite )  self . ops = { }   if false : parsexml = 1 self . counts = defaultdict ( lambda : 0 )    self . flakes = { }   if false : version = 1
408	( self ) : string representation of the vec2 returns: str: string representation of the vec2 object. return vec2( + str ( self . x ) + + str ( self . y ) + )	str	( self ) :  print ( mixbox )  string representation of the vec2 returns: str: string representation of the vec2 object.  print ( homogeneity )  return vec2( + str ( self . x ) + + str ( self . y ) + ) if false : dirty = 1 print ( disasm ) if false : orm = 1
